
en_CA         =* English (Canada)
en_GB         =* English (UK)
en_AU         =* English (Australia)
en_NZ         =* English (New Zealand)
zh_TW         =* Chinese (Taiwan)
nl_NL         =* Dutch	
af            =* Afrikaans	
ja            =* Japanese	
zh_HK         =* Chinese (Hong Kong)
mr            =* Marathi	
roh           =* Romansh	
arq           =* Algerian Arabic	
ba            =* Bashkir	
bal           =* Catalan (Balear)
bre           =* Breton	
dzo           =* Dzongkha	
fuc           =* Fulah	
fur           =* Friulian	
hat           =* Haitian Creole	
ido           =* Ido	
kin           =* Kinyarwanda	
lin           =* Lingala	
nl_BE         =* Dutch (Belgium)
ory           =* Oriya	
tah           =* Tahitian	
twd           =* Tweants	
xho           =* Xhosa	
am            =* Amharic	
id_ID         =* Indonesian	
bcc           =* Balochi Southern	
fr_CA         =* French (Canada)
ast           =* Asturian	
ckb           =* Kurdish (Sorani)
yor           =* Yoruba	
ga            =* Irish	
gu            =* Gujarati	
ko_KR         =* Korean	
bel           =* Belarusian	
ca            =* Catalan	
nl_NL/formal" =* Dutch (Formal)
ru_RU         =* Russian	
vi            =* Vietnamese	
bg_BG         =* Bulgarian	
bn_BD         =* Bengali	
cy            =* Welsh	
es_AR         =* Spanish (Argentina)
ar            =* Arabic	
de_DE         =* German	
hi_IN         =* Hindi	
cs_CZ         =* Czech	
pt_BR         =* Portuguese (Brazil)
es_ES         =* Spanish (Spain)
es_CO         =* Spanish (Colombia)
es_GT         =* Spanish (Guatemala)
es_MX         =* Spanish (Mexico)
es_PE         =* Spanish (Peru)
es_VE         =* Spanish (Venezuela)
en_ZA         =* English (South Africa)
zh_CN         =* Chinese (China)
ary           =* Moroccan Arabic	
art_xemoji    =* Emoji	
az_TR         =* Azerbaijani (Turkey)


as            = Assamese	
az            = Azerbaijani	
azb           = South Azerbaijani	
bo            = Tibetan	
bs_BA         = Bosnian	
ceb           = Cebuano	
co            = Corsican	
da_DK         = Danish	
de_CH         = German (Switzerland)
de_CH/informa = German (Switzerland) (Informal)
de_DE/formal" = German (Formal)
dv            = Dhivehi	
el            = Greek	
eo            = Esperanto	
es_CL         = Spanish (Chile)
es_CR         = Spanish (Costa Rica)
et            = Estonian	
eu            = Basque	
fa_IR         = Persian	
fa_AF         = Persian (Afghanistan)
fi            = Finnish	
fo            = Faroese	
fr_FR         = French (France)
fr_BE         = French (Belgium)
frp           = Arpitan	
fy            = Frisian	
gd            = Scottish Gaelic	
gl_ES         = Galician	
hau           = Hausa	
haw_US        = Hawaiian	
haz           = Hazaragi	
he_IL         = Hebrew	
hr            = Croatian	
hu_HU         = Hungarian	
hy            = Armenian	
is_IS         = Icelandic	
it_IT         = Italian	
jv_ID         = Javanese	
ka_GE         = Georgian	
kab           = Kabyle	
kal           = Greenlandic	
kir           = Kyrgyz	
kk            = Kazakh	
km            = Khmer	
kn            = Kannada	
lb_LU         = Luxembourgish	
li            = Limburgish	
lo            = Lao	
lt_LT         = Lithuanian	
lv            = Latvian	
me_ME         = Montenegrin	
mg_MG         = Malagasy	
mk_MK         = Macedonian	
ml_IN         = Malayalam	
mn            = Mongolian	
mri           = Maori	
ms_MY         = Malay	
my_MM         = Myanmar (Burmese)
nb_NO         = Norwegian (Bokmål)
ne_NP         = Nepali	
nn_NO         = Norwegian (Nynorsk)
oci           = Occitan	
os            = Ossetic	
pa_IN         = Punjabi	
pl_PL         = Polish	
ps            = Pashto	
pt_PT         = Portuguese (Portugal)
pt_PT/informa = Portuguese (Portugal) (Informal)
rhg           = Rohingya	
ro_RO         = Romanian	
sa_IN         = Sanskrit	
sah           = Sakha	
scn           = Sicilian	
si_LK         = Sinhala	
sk_SK         = Slovak	
sl_SI         = Slovenian	
sna           = Shona	
snd           = Sindhi	
so_SO         = Somali	
sq            = Albanian	
sq_XK         = Shqip (Kosovo)
sr_RS         = Serbian	
srd           = Sardinian	
su_ID         = Sundanese	
sv_SE         = Swedish	
sw            = Swahili	
syr           = Syriac	
szl           = Silesian	
ta_IN         = Tamil	
ta_LK         = Tamil (Sri Lanka)
te            = Telugu	
tg            = Tajik	
th            = Thai	
tir           = Tigrinya	
tl            = Tagalog	
tr_TR         = Turkish	
tt_RU         = Tatar	
tuk           = Turkmen	
tzm           = Tamazight (Central Atlas)
ug_CN         = Uighur	
uk            = Ukrainian	
ur            = Urdu	
uz_UZ         = Uzbek	

